G/L Account	Company Code	Chart of Accounts	Tax Category	Language Key	Short Text	G/L Acct Long Text	Hierarchy Level	ID	Text	IDoc number	Message Text
102302	2000	DCOA		EN	Receipts - other	Receipts - other	0	0		0	
102303	3000	DCOA	+	EN	Trust Receipts-other	Trust Receipts - other	0	0		0	
102303	5100	DCOA	+	EN	Trust Receipts-other	Trust Receipts - other	0	0		0	
102475	2000	DCOA		EN	StateTaxEquivPayment	State tax equivalent payment	0	0		0	
102500	2000	DCOA		EN	Interest  - Loan DHA	Interest  - Loan DHA	0	0		0	
120000	1000	DCOA		EN	Forex gain a/c	Foreign exchange gain	0	0		0	
120000	2000	DCOA		EN	Forex gain a/c	Foreign exchange gain	0	0		0	
120000	3000	DCOA		EN	Forex gain a/c	Foreign exchange gain	0	0		0	
120000	5000	DCOA		EN	Forex gain a/c	Foreign exchange gain	0	0		0	
120000	5100	DCOA		EN	Forex gain a/c	Foreign exchange gain	0	0		0	
121008	1000	DCOA	-	EN	Disposal fees - land	Disposal fees - land	0	0		0	
121008	5000	DCOA	-	EN	Disposal fees - land	Disposal fees - land	0	0		0	
121009	1000	DCOA	-	EN	Disp'l fees - builds	Disposal fees - buildings	0	0		0	
121009	5000	DCOA	-	EN	Disp'l fees - builds	Disposal fees - buildings	0	0		0	
121103	1000	DCOA	-	EN	Disposal fees - SME	Disposal fees - SME	0	0		0	
121103	5000	DCOA	-	EN	Disposal fees - SME	Disposal fees - SME	0	0		0	
121200	1000	DCOA	-	EN	CstAstDisp-Infr	Cost of asset disposal - Infrastructure	0	0		0	
121200	5000	DCOA	-	EN	CstAstDisp-Infr	Cost of asset disposal - Infrastructure	0	0		0	
121300	1000	DCOA	-	EN	Disposal fees - OP&E	Disposal fees - OP&E	0	0		0	
121300	5000	DCOA	-	EN	Disposal fees - OP&E	Disposal fees - OP&E	0	0		0	
121304	1000	DCOA	-	EN	Loss Lease Disposal	Net loss on lease disposal	0	0		0	
121304	5000	DCOA	-	EN	Loss Lease Disposal	Net loss on lease disposal	0	0		0	
121500	1000	DCOA	-	EN	D'pl fees-oth intang	Disposal fees - other intangibles	0	0		0	
121500	5000	DCOA	-	EN	D'pl fees-oth intang	Disposal fees - other intangibles	0	0		0	
190100	2000	DCOA		EN	DFRDB contributions	DFRDB contributions	0	0		0	
190101	2000	DCOA		EN	MSBS contributions	MSBS contributions	0	0		0	
